Row,Ast,End,Ex,In,Mic,Oli,Opc,Per
RB1CC1,0.226608977825852,0.246575342465753,0.744435590969456,0.540047240712905,0.101661779081134,0.153813559322034,0.273151750972763,0.252631578947368
OPRK1,0.00324499729583559,0,0.0620451527224436,0.0663517285806313,0.000977517106549365,0.00105932203389831,0.00389105058365759,0
ATP6V1H,0.251487290427258,0.164383561643836,1.29221779548473,0.474554434185098,0.083088954056696,0.0784957627118644,0.222568093385214,0.0947368421052632
RGS20,0.704705246078962,0.0136986301369863,0.0311819389110226,0.0442344857204209,0.00586510263929619,0.00423728813559322,0.0116731517509728,0
TCEA1,0.0843699296917253,0.0273972602739726,0.151713147410359,0.0992054971011381,0.0439882697947214,0.0377118644067797,0.0770428015564202,0.0842105263157895
AC100821.2,0.00270416441319632,0,0.00191235059760956,0.00193257461885334,0,0.000423728813559322,0,0.0105263157894737
LYPLA1,0.0486749594375338,0.0547945205479452,0.169030544488712,0.18767446854198,0.0801564027370479,0.0127118644067797,0.0731517509727626,0.0631578947368421
MRPL15,0.028664142779881,0.0410958904109589,0.137529880478088,0.102211724286021,0.00977517106549365,0.0076271186440678,0.0428015564202335,0.0210526315789474
SOX17,0,0.0547945205479452,0,0,0,0,0,0
RP1,0,0,0.000159362549800797,0.000858922052823706,0,0.000211864406779661,0.000778210116731518,0
XKR4,0.0243374797187669,0.0136986301369863,1.13498007968127,2.4092763581705,0.010752688172043,0.0169491525423729,1.39455252918288,0.0631578947368421
TMEM68,0.0465116279069767,0.0136986301369863,0.131792828685259,0.0863216663087825,0.0156402737047898,0.0290254237288136,0.0996108949416342,0.0631578947368421
TGS1,0.0578691184424013,0.0821917808219178,0.254820717131474,0.168563452866652,0.0342130987292278,0.0430084745762712,0.135408560311284,0.0631578947368421
LYN,0.107625743645214,0.0273972602739726,0.018273572377158,0.0201846682413571,0.465298142717498,0.00434322033898305,0.0490272373540856,0.0210526315789474
RPS20,0.20551649540292,0.863013698630137,0.630225763612218,0.310715052608976,0.290322580645161,0.141419491525424,0.153307392996109,0.178947368421053
MOS,0,0,5.31208499335989e-05,0,0,0,0,0
PLAG1,0.0113574905354246,0.0273972602739726,0.0935989375830013,0.0395104144298905,0.0664711632453568,0.0159957627118644,0.00233463035019455,0
CHCHD7,0.0108166576527853,0.0273972602739726,0.0763877822045153,0.0330684990337127,0.0351906158357771,0.0117584745762712,0.0147859922178988,0.0315789473684211
SDR16C5,0,0,0.0481806108897742,0.00429461026411853,0,0.000953389830508475,0.00155642023346304,0
PENK,0.000540832882639265,0,0.00770252324037185,0.0369336482714194,0.000977517106549365,0.000529661016949153,0,0
IMPAD1,0.0351541373715522,0.0821917808219178,0.246427622841965,0.130770882542409,0.0117302052785924,0.0510593220338983,0.0630350194552529,0.0631578947368421
FAM110B,0.0946457544618713,0.10958904109589,0.240690571049137,0.549065922267554,0.0518084066471163,0.00699152542372881,0.710505836575876,0.242105263157895
UBXN2B,0.0665224445646295,0.0410958904109589,0.2999203187251,0.207000214730513,0.0576735092864125,0.0345338983050847,0.124513618677043,0.0315789473684211
CYP7A1,0,0,0.00122177954847278,0.000858922052823706,0,0.000423728813559322,0.000778210116731518,0
SDCBP,0.0627366143861547,0.301369863013699,0.305551128818061,0.17607902082886,0.104594330400782,0.0205508474576271,0.0684824902723735,0.0526315789473684
NSMAF,0.175770686857761,0.136986301369863,0.499495351925631,0.356023190895426,0.0879765395894428,0.0580508474576271,0.326070038910506,0.0736842105263158
TOX,0.713899405083829,0.150684931506849,1.23484727755644,0.489156109083101,0.0694037145650049,0.0105932203389831,1.02568093385214,0
CA8,0.245538128718226,0,0.0450464807436919,0.141077947176294,0.0478983382209189,0.0013771186440678,0.224124513618677,0.0105263157894737
RAB2A,0.247701460248783,0.287671232876712,1.06252324037185,0.563667597165557,0.177908113391984,0.2,0.531517509727626,0.347368421052632
CHD7,0.174689021092482,0.0547945205479452,0.0184329349269588,0.0592656216448357,0.204301075268817,0.246822033898305,0.750972762645914,0.0210526315789474
CLVS1,0.0319091400757166,0.0273972602739726,0.517981407702523,0.455013957483358,0.00879765395894428,0.0418432203389831,0.388326848249027,0.0315789473684211
ASPH,1.08328826392645,0.178082191780822,0.660929614873838,0.348078161906807,0.0879765395894428,0.0635593220338983,0.371206225680934,0.178947368421053
NKAIN3,2.24607896160087,0.0547945205479452,0.127171314741036,0.38114666094052,0.0117302052785924,0.0116525423728814,1.2988326848249,0.105263157894737
GGH,0.0302866414277988,0,0.0887118193891102,0.0399398754563023,0.000977517106549365,0.00646186440677966,0.0132295719844358,0.0105263157894737
TTPA,0.0903190914007572,0.0136986301369863,0.00956175298804781,0.00987760360747262,0,0.000953389830508475,0.0311284046692607,0
YTHDF3,0.0865332612222823,0.10958904109589,0.26730411686587,0.157397466179944,0.0557184750733138,0.0625,0.150972762645914,0.115789473684211
BHLHE22,0.00108166576527853,0,0.0259760956175299,0.00429461026411853,0,0.00105932203389831,0,0
CYP7B1,0.248783126014062,0.0958904109589041,0.184276228419655,0.120893278934937,0.00977517106549365,0.163453389830508,0.36420233463035,0.2
ARMC1,0.0605732828555976,0.0273972602739726,0.29195219123506,0.174575907236418,0.032258064516129,0.0829449152542373,0.0692607003891051,0.105263157894737
MTFR1,0.0394808004326663,0.0821917808219178,0.0806905710491368,0.0691432252523084,0.0439882697947214,0.075635593220339,0.0918287937743191,0.0421052631578947
PDE7A,0.109789075175771,0.0958904109589041,0.410305444887118,0.265621644835731,0.144672531769306,0.18771186440678,0.237354085603113,0.378947368421053
DNAJC5B,0.00108166576527853,0,0.00308100929614874,0.00279149667167705,0,0.000211864406779661,0.00233463035019455,0
TRIM55,0,0,0.00127490039840637,0.00751556796220743,0.000977517106549365,0.00158898305084746,0.00155642023346304,0
CRH,0.00108166576527853,0,0.0163612217795485,0.131200343568821,0.000977517106549365,0.000317796610169492,0.00155642023346304,0
RRS1,0,0,0.000796812749003984,0.000429461026411853,0,0.000529661016949153,0,0
ADHFE1,0.146565711195241,0.0136986301369863,0.0403718459495352,0.0382220313506549,0.00488758553274682,0.0309322033898305,0.0770428015564202,0.0526315789473684
C8orf46,0.102217414818821,0.0273972602739726,0.555909694555113,0.165557225681769,0.00879765395894428,0.130190677966102,0.263813229571984,0.0526315789473684
MYBL1,0.0146024878312601,0,0.0188579017264276,0.0105217951470904,0.0312805474095797,0.0157838983050847,0.0124513618677043,0.0421052631578947
VCPIP1,0.0530016224986479,0.0547945205479452,0.229641434262948,0.124543697659437,0.0254154447702835,0.0319915254237288,0.0342412451361868,0.0421052631578947
C8orf44-SGK3,0.0562466197944835,0.0136986301369863,0.146985391766268,0.0695726862787202,0.0146627565982405,0.0228813559322034,0.0544747081712062,0
AC090154.1,0,0,0.000584329349269588,0.000214730513205927,0,0.000211864406779661,0,0
SGK3,0.0686857760951866,0,0.027675962815405,0.00987760360747262,0.00782013685239492,0.0579449152542373,0.0373540856031128,0
MCMDC2,0.0443482963764197,0,0.119946879150066,0.0607687352372772,0.00684261974584555,0.0254237288135593,0.0715953307392996,0.0105263157894737
